Attrition_Flag,Customer_Age,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Tenure_Months,Avg_Trans_per_Month,Credit_Utilization,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
0,45,3,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,39,29.333333333333332,0.09014262075486565,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,49,5,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,44,29.34090909090909,0.15637112403100775,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0,51,3,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,36,52.416666666666664,0.5520772381509654,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,40,4,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,34,34.44117647058823,0.353456082100815,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,40,3,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,21,38.857142857142854,0.17302798982188294,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0,44,2,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,36,30.22222222222222,0.2713216957605985,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0,51,4,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,46,28.91304347826087,0.038532854328427395,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
0,32,0,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,27,56.96296296296296,0.05288676455417626,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
0,37,3,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,36,37.5,0.06039727988546886,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,48,2,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,36,40.02777777777778,0.12362731640356897,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0,42,5,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,31,38.74193548387097,0.17797866034380558,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,65,1,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,54,24.333333333333332,0.1444749862561847,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
0,56,1,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,36,42.75,0.13096757722747,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0,35,3,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,30,43.7,0.1533871533871534,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0,57,2,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,48,32.708333333333336,0.6444991789819376,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,44,4,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,37,36.432432432432435,0.31837505904581953,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
0,48,4,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,36,46.416666666666664,0.05502683834425528,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
0,41,3,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,34,30.235294117647058,0.0759512375323236,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
0,61,1,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,56,23.857142857142858,0.4184152834325086,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0,45,2,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,37,32.62162162162162,0.0834139599170698,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,47,1,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,42,28.047619047619047,0.05615138948472282,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,62,0,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,49,14.122448979591837,0.4811235486338038,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,41,3,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,33,28.21212121212121,0.20827740492170022,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0,47,4,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,36,31.27777777777778,0.4518459069020867,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
